"ID_BANDERA","ID_LOCAL","FECHA","MONTO","CANTIDAD","FERIADO","DIA_1","DIA_2","DIA_3","DIA_4","DIA_5","DIA_6","DIA_7","MES_1","MES_2","MES_3","MES_4","MES_5","MES_6","MES_7","MES_8","MES_9","MES_10","MES_11","MES_12"
"B",2,2024-01-21,39054,34,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",2,2024-01-19,32395,27,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",2,2024-01-07,24435,22,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",2,2024-01-11,10600,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",2,2024-02-28,17490,11,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",2,2024-02-27,14310,9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",2,2024-02-21,6170,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",2,2024-02-29,4770,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",2,2024-02-25,16325,14,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",2,2024-02-10,32354.9996,28,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"B",1,2024-02-21,1590,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",1,2024-02-16,1590,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",1,2024-02-18,1590,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",2,2024-01-10,15775,13,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",1,2024-01-21,20599.9986,18,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",1,2024-01-30,19910,17,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",2,2024-01-04,11195,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",2,2024-02-03,61820,54,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"B",2,2024-02-14,23045,20,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",2,2024-01-15,2290,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",2,2024-01-13,39775,35,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
